MPM,MUSIC,F1 Values,F2 Values,Energy Values,Spectral Magnitudes,Spectral Peaks,Speaking Rate,Pitch Peaks,Loudness Values,Pitch Counter,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13
8492.917939789762,-0.2199999999999999,913.9035808116032,1879.6206948882952,0.004879329,2700.9688,140.625,71.71428571428571,34,0.004879329,190,-134.96759,180.22757,-53.531048,12.826951,30.740997,-14.712187,-0.063265115,-3.5311704,-5.7368817,0.51727706,-13.012656,-6.8317986,-3.3174827
7036.086373824355,-0.48,1002.7764925311764,1852.3737556879369,0.011016577,10795.112,351.5625,83.71428571428571,34,0.011016577,198,-158.56862,202.72075,-21.617794,-7.714723,25.010166,-0.9248891,4.916079,-2.2006042,-16.434093,-0.43865812,0.31282115,-8.930244,-5.6802993
8603.737457180616,-0.3,965.5652313453776,2225.1326191681883,0.10556134,18763.086,351.5625,66.57142857142857,50,0.10556134,9,-146.90941,194.12149,0.094378062,5.8980446,20.581833,-7.0772953,0.1096092,0.064889282,-6.0984154,0.73034585,-7.3833227,-10.017198,-2.5909078
8792.57202984038,-0.2,466.6226621502617,1445.8390199971304,0.15495157,24133.52,398.4375,61.71428571428571,52,0.15495157,15,-138.7093,185.32558,-55.345627,11.353991,25.794125,-16.484869,1.8026941,-3.6033084,-5.3672123,0.6310143,-13.773482,-5.9446845,0.36388618
8324.639292882377,-0.43,352.9483592024413,2095.3718727283594,0.18581668,21523.758,398.4375,74.28571428571428,53,0.18581668,26,-145.26625,190.9477,-9.468186,-3.3623734,20.908577,-4.364483,0.27912587,1.3264523,-7.1018887,-2.3238735,-6.723473,-7.0592556,1.1626952
8520.070561075598,-0.0899999999999999,554.7594840536476,1840.382321071457,0.17840752,16938.604,351.5625,66.57142857142857,53,0.17840752,26,-131.67273,202.38345,-12.593068,0.8805631,26.086182,-1.4067038,4.19326,0.22072835,-9.981992,-2.2600484,-6.083884,-5.6150055,0.2336497
8109.442088164906,-0.27,655.2346129908814,1698.0371910930671,0.15115514,12917.662,398.4375,74.57142857142856,51,0.15115514,28,-138.35629,205.74831,-22.309521,-0.1166845,26.923811,-7.9110708,0.23684438,2.0095963,-6.6539621,-1.1859542,-9.4442234,-8.6180906,-0.26342887
7943.8638784811155,0.35,304.61259369334664,1903.823020372762,0.12964892,12039.347,281.25,74.85714285714285,50,0.12964892,3,-154.91632,198.4162,-14.677357,-2.049063,23.369646,-6.3469934,0.2197866,1.740695,-7.6055713,-1.0900465,-5.421878,-7.6429434,-1.0310546
8774.65748805828,-0.24,383.7511676452166,2291.438137629392,0.10980174,10437.406,117.1875,66.57142857142857,49,0.10980174,10,-156.99414,204.45076,-6.983868,-5.4116993,26.563063,-0.6348858,-4.090779,-0.4279407,-5.045682,-3.081041,-9.064051,-8.0528755,-0.68774
7992.671041161673,-0.2,388.7188025085911,2381.98390902476,0.09863823,9043.4375,398.4375,76.57142857142856,49,0.09863823,11,-142.50417,210.05632,-15.416793,-1.0241556,22.53372,-6.338787,2.6288254,0.34013426,-9.225223,-0.63716745,-7.5530667,-10.596698,-1.0773903
7937.925533347477,0.36,457.9551540204823,1902.0145406965776,0.07924794,6960.4824,375.0,74.28571428571428,49,0.07924794,18,-132.60649,207.22092,-0.17298129,-8.52598,20.6518,0.88752848,-1.8371559,-2.0291016,-7.3947086,-4.5345502,-9.202529,-8.6523933,-1.6692044
