F1 Values,F2 Values,Energy Values,MFCC Values,Spectral Magnitudes,Spectral Peaks,Speaking Rate,Pitch Peaks,Loudness Values,Pitch Counter
nan,nan,0.2590476,"[-136.52023    199.56917     -8.804059    -5.444596    20.111794
   -4.942283     2.5399911    3.1185725  -12.3002205   -8.457422
   -7.6156654   -6.4754715   -0.7052412]",17813.633,[ 46.875  164.0625 281.25   351.5625],47.14285714285714,37,0.2590476,8
nan,nan,0.2818994,"[-141.35242     184.61485      -8.26143      -4.674477     19.43409
   -5.115769     -0.78820014    4.9722304    -5.2602844    -8.982398
  -11.62809      -7.5645213    -0.97387767]",15328.492,[140.625  210.9375],42.28571428571428,37,0.2818994,5
nan,nan,0.29322368,"[-1.3825339e+02  2.0193575e+02 -1.6362228e+01  3.4140053e+00
  2.9851566e+01 -1.0456170e+00  5.0990334e+00 -1.7052282e+00
 -1.2305411e+01 -6.3647306e-01 -7.6304970e+00 -7.3911986e+00
 -5.6071747e-02]",9746.951,[ 46.875  117.1875 328.125 ],38.857142857142854,35,0.29322368,4
nan,nan,0.2792343,"[-109.61069    209.677      -13.987373    -2.6813376   14.17916
  -17.903625     2.4155998    9.1881485  -11.297057   -12.217493
  -10.188259    -4.276869    -0.7731305]",3294.8713,[ 23.4375 164.0625 281.25   328.125 ],33.42857142857142,32,0.2792343,7
nan,nan,0.26820183,"[-1.4586554e+02  2.0163686e+02 -4.4101954e+00 -6.5126429e+00
  6.4597073e+00 -1.8659853e+01  9.5578209e-02  6.4974885e+00
 -7.0381727e+00 -4.1309752e+00 -7.6718583e+00 -5.7878737e+00
  1.5085051e+00]",4819.297,[ 23.4375 398.4375],36.28571428571428,58,0.26820183,5
nan,nan,0.23262547,"[-141.84055     211.68463      -5.88367       2.4345841    12.8534975
  -12.75887       7.191729      0.62856853  -15.325562     -3.786179
   -7.1514697    -5.7488246     0.47183156]",11450.967,[257.8125],34.857142857142854,56,0.23262547,6
nan,nan,0.18777835,"[-128.06909    180.6846     -10.459734     2.0973518   17.591944
  -10.554493     3.3290322    3.7004704  -12.836125    -8.042724
   -6.614844    -4.4418907   -1.9199358]",16500.9,[ 93.75 375.  ],39.14285714285714,53,0.18777835,12
nan,nan,0.08665797,"[-1.4731709e+02  1.8620497e+02 -1.0516212e+01  1.1573308e+01
  2.3594322e+01 -5.5720096e+00  8.8954220e+00  1.8237846e-01
 -1.5284766e+01 -3.4485979e+00 -6.9190712e+00 -1.0148240e+01
 -4.6320701e+00]",14042.79,[ 23.4375 210.9375 257.8125 398.4375],37.42857142857142,33,0.08665797,19
nan,nan,0.01651965,"[-134.59251    218.26231    -15.344536    -2.6041784   17.001337
  -10.665384     8.287174     6.1204314  -12.986036    -7.2671175
   -8.438133    -3.5020988    3.7447436]",8192.66,[ 70.3125 117.1875 234.375  304.6875],45.42857142857142,33,0.01651965,84
nan,nan,0.0077384007,"[-149.59982    217.67584     -8.169467    -7.2491474   19.854874
   -3.5123384    4.0978355    2.1800985  -11.045803    -6.586762
   -8.503692    -2.9371748    3.7439423]",4027.9111,[ 23.4375  93.75   140.625  281.25  ],61.99999999999999,56,0.0077384007,69
